disease,year,week,cases
Human bocavirus,2022,9,8
Human bocavirus,2022,10,5
Human bocavirus,2022,11,3
Human bocavirus,2022,12,11
Human bocavirus,2022,13,6
Human bocavirus,2022,14,1
Human bocavirus,2022,15,4
Human bocavirus,2022,16,7
Human bocavirus,2022,17,2
Human bocavirus,2022,18,8
Human bocavirus,2022,19,7
Human bocavirus,2022,20,14
Human bocavirus,2022,21,19
Human bocavirus,2022,22,24
Human bocavirus,2022,23,22
Human bocavirus,2022,24,19
Human bocavirus,2022,25,36
Human bocavirus,2022,26,45
Human bocavirus,2022,27,76
Human bocavirus,2022,28,115
Human bocavirus,2022,29,130
Human bocavirus,2022,30,156
Human bocavirus,2022,31,140
Human bocavirus,2022,32,182
Human bocavirus,2022,33,145
Human bocavirus,2022,34,150
Human bocavirus,2022,35,161
Human bocavirus,2022,36,142
Human bocavirus,2022,37,132
Human bocavirus,2022,38,120
Human bocavirus,2022,39,110
Human bocavirus,2022,40,101
Human bocavirus,2022,41,92
Human bocavirus,2022,42,76
Human bocavirus,2022,43,64
Human bocavirus,2022,44,80
Human bocavirus,2022,45,67
Human bocavirus,2022,46,70
Human bocavirus,2022,47,39
Human bocavirus,2022,48,52
Human bocavirus,2022,49,41
Human bocavirus,2022,50,37
Human bocavirus,2022,51,45
Human bocavirus,2022,52,36
Human bocavirus,2022,53,29
Human bocavirus,2023,1,22
Human bocavirus,2023,2,22
Human bocavirus,2023,3,20
Human bocavirus,2023,4,24
Human bocavirus,2023,5,12
Human bocavirus,2023,6,22
Human bocavirus,2023,7,22
Human bocavirus,2023,8,26
Human bocavirus,2023,9,25
Human bocavirus,2023,10,36
Human bocavirus,2023,11,39
Human bocavirus,2023,12,37
Human bocavirus,2023,13,46
Human bocavirus,2023,14,87
Human bocavirus,2023,15,64
Human bocavirus,2023,16,99
Human bocavirus,2023,17,139
Human bocavirus,2023,18,110
Human bocavirus,2023,19,144
Human bocavirus,2023,20,135
Human bocavirus,2023,21,139
Human bocavirus,2023,22,171
Human bocavirus,2023,23,133
Human bocavirus,2023,24,128
Human bocavirus,2023,25,132
Human bocavirus,2023,26,135
Human bocavirus,2023,27,161
Human bocavirus,2023,28,114
Human bocavirus,2023,29,114
Human bocavirus,2023,30,88
Human bocavirus,2023,31,95
Human bocavirus,2023,32,77
Human bocavirus,2023,33,70
Human bocavirus,2023,34,79
Human bocavirus,2023,35,67
Human bocavirus,2023,36,71
Human bocavirus,2023,37,59
Human bocavirus,2023,38,72
Human bocavirus,2023,39,23
Human bocavirus,2023,40,28
Human bocavirus,2023,41,26
Human bocavirus,2023,42,29
Human bocavirus,2023,43,27
Human bocavirus,2023,44,25
Human bocavirus,2023,45,26
Human bocavirus,2023,46,29
Human bocavirus,2023,47,30
Human bocavirus,2023,48,28
Human bocavirus,2023,49,36
Human bocavirus,2023,50,44
Human bocavirus,2023,51,42
Human bocavirus,2023,52,37
Human bocavirus,2024,1,25
Human bocavirus,2024,2,24
Human bocavirus,2024,3,28
Human bocavirus,2024,4,24
Human bocavirus,2024,5,13
Human bocavirus,2024,6,17
Human bocavirus,2024,7,18
Human bocavirus,2024,8,16
Human bocavirus,2024,9,16
Human bocavirus,2024,10,16
Human bocavirus,2024,11,16
Human bocavirus,2024,12,33
Human bocavirus,2024,13,39
Human bocavirus,2024,14,39
Human bocavirus,2024,15,48
Human bocavirus,2024,16,53
Human bocavirus,2024,17,77
Human bocavirus,2024,18,80
Human bocavirus,2024,19,79
Human bocavirus,2024,20,103
Human bocavirus,2024,21,104
Human bocavirus,2024,22,146
Human bocavirus,2024,23,110
Human bocavirus,2024,24,111
Human bocavirus,2024,25,90
Human bocavirus,2024,26,108
Human bocavirus,2024,27,78
Human bocavirus,2024,28,65
Human bocavirus,2024,29,65
Human bocavirus,2024,30,41
Human bocavirus,2024,31,36
